Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,loudness_norm,calm_score,softness_score,migraine_level,migraine_safe
75284,08acQDpjsz1BHN9TZa1q0Z,Brian Crain,Life Is...,Dreams and Memories,24,242639,False,0.178,0.119,5,-18.541,1,0.0319,0.89,0.948,0.111,0.0388,92.878,4,new-age,0.6909833333333334,0.7634033333333334,0.7711033333333334,3,True
75285,0vYo7D8O4P2YTmncxQL33q,Dan Gibson's Solitudes,Asian Spa,The True Path,25,332972,False,0.31,0.186,4,-26.223,0,0.0556,0.851,0.79,0.832,0.124,124.875,3,new-age,0.5629500000000001,0.7373099999999999,0.75711,1,True
75286,1GvNY88VvXKRNknbT4fAYm,Dan Gibson's Solitudes,Desert Retreat,Desert Solitude,25,105986,False,0.278,0.0565,9,-30.699,0,0.0783,0.989,0.592,0.401,0.095,87.203,4,new-age,0.48834999999999995,0.84863,0.87988,4,True
75287,2KooICJ6tnKIcXkF2TyJzS,Jim Brickman;Rebecca Lynn Howard,Greatest Hits,Simple Things (feat. Rebecca Lynn Howard),25,209933,False,0.622,0.596,0,-10.164,1,0.0322,0.213,2.51e-05,0.0842,0.618,92.009,4,new-age,0.8306,0.29718000000000006,0.26158000000000003,1,True
75288,0pyzm6EVFs7dTOkmncRQmd,Dan Gibson's Solitudes,Piano Cascades,Cascades,25,417400,False,0.359,0.197,9,-22.389,1,0.0373,0.955,0.699,0.362,0.3,94.424,4,new-age,0.62685,0.7464299999999999,0.7930299999999999,3,True
75289,5zUWquxVOO6JRWACx601M6,Andreas Vollenweider;Walter Keiser;Pedro Haldemann;Jon Otis;Matthias Ziegler;Christoph Ziegler,Down to the Moon,Quiet Observer,25,164000,False,0.373,0.317,1,-13.921,1,0.0354,0.855,0.0549,0.2,0.111,142.936,4,new-age,0.7679833333333334,0.6388033333333334,0.6788033333333333,1,True
75290,3vRYdkqNVKvt7l6egzmCzF,Paul Cardall,Hymns,I Need Thee Every Hour,25,200586,False,0.385,0.0298,7,-19.777,1,0.0632,0.986,0.893,0.124,0.183,68.465,3,new-age,0.6703833333333333,0.8113033333333334,0.8499833333333333,4,True
75291,2SN9DMlkSiVW90Bj639m1G,Robert Haig Coxon,Prelude to Infinity,Hemingbough... A Prelude,25,379440,False,0.234,0.174,0,-17.512,0,0.0391,0.984,0.961,0.117,0.0469,129.659,4,new-age,0.7081333333333333,0.7605733333333333,0.7981733333333334,1,True
75292,1hrvf4tjmbBck9oWtPmQyu,Gomer Edwin Evans,SPIRIT OF TAO : Chinesische Meditationsmusik,Spirituelle Erneuerung,25,621773,False,0.157,0.226,1,-12.789,0,0.0381,0.873,0.902,0.084,0.055,60.189,3,new-age,0.7868499999999999,0.6984300000000001,0.71133,3,True
75293,5IxzBnaLKCgtUNgaUVLq3J,Deuter,East of the Full Moon,Moon-Silvered Clouds,26,406586,False,0.269,0.0391,0,-25.708,0,0.0406,0.981,0.96,0.112,0.051,126.753,3,new-age,0.5715333333333333,0.8374533333333334,0.8644633333333334,1,True
75294,4ybSBC9IpKzT00BczNgVuo,Llewellyn,Reiki,Waking Dreams,25,302480,False,0.383,0.23,2,-23.059,1,0.0583,0.953,0.936,0.906,0.192,109.756,4,new-age,0.6156833333333334,0.7324633333333335,0.7843633333333333,2,True
75295,15lAKAkwZpm5ohh2WikPlc,George Winston,Night,Hallelujah,25,327706,False,0.385,0.187,0,-15.554,1,0.0375,0.888,0.896,0.114,0.0491,127.122,3,new-age,0.7407666666666667,0.7049466666666666,0.7397466666666667,1,True
75296,4SHKP9NefTNi8KWo9jBbnP,Tony O'Connor,Kakadu,Billabong,25,594533,False,0.361,0.111,0,-18.939,1,0.0404,0.913,0.000424,0.505,0.119,79.633,4,new-age,0.68435,0.7565299999999999,0.7863300000000001,4,True
75297,5kwzu3au61v3RXIcEJlNEM,Tony O'Connor,Whispering Sea,Wandering,25,543600,False,0.476,0.0547,5,-25.55,1,0.0345,0.979,0.835,0.267,0.0539,109.999,4,new-age,0.5741666666666667,0.8093866666666667,0.8582566666666667,2,True
75298,0Yec1lpnhDIf6gAA00Pqrz,Clannad,Magical Ring,Tower Hill - Remastered 2003,26,230546,False,0.581,0.517,7,-11.813,1,0.0264,0.622,0.018,0.138,0.526,123.31,5,new-age,0.8031166666666666,0.4610766666666667,0.49527666666666664,1,True
75299,3Nuwv0OCUO3TFYQjxAtRnC,Hayley Westenra,River Of Dreams - The Very Best of Hayley Westenra,Pokarekare Ana,26,198813,False,0.149,0.149,7,-13.189,1,0.0365,0.8,3.6e-06,0.111,0.113,77.697,4,new-age,0.7801833333333333,0.7094633333333333,0.6992633333333333,3,True
75300,5aeT0ug8aEM2UZYUUKG14e,Enigma,Seven Lives Many Faces,Déjà Vu,42,176253,False,0.473,0.361,7,-12.468,1,0.0293,0.732,0.922,0.584,0.246,95.012,4,new-age,0.7921999999999999,0.56946,0.59926,2,True
